mot_malgache,description,resume_francais
Indray mandeha,Une fois,une fois
Imbetsaka,Souvent,souvent
Haingana,Vite,vite
Miadana,Lentement,lentement
Marary,Malade,malade
Sitrana,Guéri,guéri
Matavy,Gros,gros
Mahia,Maigre,maigre
Mahery,Fort,fort
Malemy,Faible,faible
Hendry,Sage,sage
Adala,Fou,fou
Maditra,Désobéissant,désobéissant
Tia,Aimer,aimer
Halàna,Détester,détester
Manaja,Respecter,respecter
Manambany,Mépriser,mépriser
Vonona,Prêt,prêt
Tara,En retard,retard
Vao,Neuf,neuf
Antitra,Vieux,vieux
Zatovo,Jeune,jeune
Mpanankarena,Riche,riche
Mahantra,Pauvre,pauvre
Miasa mafy,Travailler dur,dur
Miala sasatra,Se reposer,repos
Matory tsara,Bien dormir,dormir
Noana,Affamé,faim
A mangidy,Avoir faim,faim
Hemana,Assoiffé,soif
Mangatsiaka,Avoir froid,froid
Mafana,Chaud,chaud
Orinasa,Entreprise,entreprise
Asa,Travail,travail
Karabina,Salaire,salaire
Fivarotana,Boutique,boutique
Restaurant,Restaurant,restaurant
Hotely,Hôtel,hôtel
Hopitaly,Hôpital,hôpital
Fiangonana,Église,église
Moske,Mosquée,mosquée
Trano fiangonana,Église,église
Klioba,Club,club
Birao,Bureau,bureau
Paositra,Poste,poste
Banky,Banque,banque
Mpanjifa,Client,client
Tompon-trano,Propriétaire,propriétaire
Mpiasa,Ouvrier,ouvrier
Mpivarotra,Vendeur,vendeur
Mpividy,Acheteur,acheteur
Mpamatsy,Fournisseur,fournisseur
Sera,Patron,patron
Lehilahy,Homme,homme
Vezo,Femme,femme
Zazavavy,Fillette,fillette
Zazalahy,Garçon,garçon
Jiolahy,Voleur,voleur
Polisy,Police,police
Mpitondra fiara,Chauffeur,chauffeur
Dokotera,Médecin,médecin
Mpitsabo,Soignant,soignant
Mpanasatra rambonana,Infirmier,infirmier
Mpanao lalàna,Juriste,juriste
Mpikaroka,Chercheur,chercheur
Tantsaha,Paysan,paysan
Mpanjono,Pêcheur,pêcheur
Mpiompy,Éleveur,éleveur
Mpandrafitra,Menuisier,menuisier
Mpanao biriky,Briquetier,briquetier
Mpanao akanjo,Tailleur,tailleur
Mpanety,Coiffeur,coiffeur
Mpanao kiraro,Cordonnier,cordonnier
Mpanao savony,Savonnier,savonnier
Mpamono afo,Pompier,pompier
Mpitanty,Policier,policier
Mpitsara,Juge,juge
Mpisolovava,Avocat,avocat
Mpanao gazety,Journaliste,journaliste
Mpandraharaha,Gestionnaire,gestionnaire
Mpikambana,Membre,membre
Mpiara-mianatra,Condisciple,camarade
Mpiara-miasa,Collègue,collègue
Tompon'andraikitra,Responsable,responsable
Mpitondra,Dirigeant,dirigeant
Ben'ny tanàna,Maire,maire
Governora,Gouverneur,gouverneur
Filoha,Président,président
Praiminisitra,Premier ministre,premier ministre
Antoko,Parti politique,parti
Fifidianana,Élection,élection
Lalàna,Loi,loi
Didy,Décret,décret
Fitsarana,Tribunal,tribunal
Fonja,Prison,prison
Gadra,Prisonnier,prisonnier
Fahafahana,Liberté,liberté
Zo,Droit,droit
Ady,Guerre,guerre
Tafika,Armée,armée
Miady,Se battre,battre
Mandresy,Gagner,gagner
Resy,Perdre,perdre
Fandriampahalemana,Paix,paix
Fihavanana,Entraide,entraide
Fitiavana,Amour,amour
Fankahalana,Haine,haine
Fahasalamana,Santé,santé
Fambolena,Agriculture,agriculture
Fiompiana,Élevage,élevage
Jono,Pêche,pêche
Ala,Forêt,forêt
Tany,Terre,terre
Tany maina,Terre sèche,sec
Tany mando,Terre humide,humide
Vary,Riz,riz
Mofo,Pain,pain
Pasta,Pâtes,pâtes
Hena,Viande,viande
Trondro,Poisson,poisson
Atody,Œuf,œuf
Ronono,Lait,lait
Fromage,Fromage,fromage
Dite,Thé,thé
Kafe,Café,café
Siramamy,Sucre,sucre
Sira,Sel,sel
Dipolavatra,Piment,piment
Tongolo,Oignon,oignon
Garlic,Ail,ail
Voasary,Citron,citron
Manga,Mangue,mangue
Papay,Papaye,papaye
Akondro,Banane,banane
Paiso,Pêche,pêche
Pao,Verger,verger
Karaoty,Carotte,carotte
Brinjal,Aubergine,aubergine
Tsaramasoa,Haricot,haricot
Voatabia,Tomate,tomate
Kôkômbra,Concombre,concombre
Salady,Salade,salade
Makamba,Okra,okra
Ananambazaha,Épinard,épinard
Maniô,Manioc,manioc
Boniato,Pomme de terre,patate
Ovy,Pomme de terre douce,patate
Voanjo,Arachide,arachide
Kapoaka,Tasse,tasse
Vilia,Assiette,assiette
Sokay,Cuillère,cuillère
Forchette,Fourchette,fourchette
Antsy,Couteau,couteau
Vilany,Casserole,casserole
Lavabo,Évier,évier
Dabara,Nappe,nappe
Fandriana,Lit,lit
Dabilio,Chaise,chaise
Latabatra,Table,table
Varavarankely,Fenêtre,fenêtre
Varavana,Porte,porte
Hidim-baravarana,Poignée,poignée
Nato,Serrure,serrure
Lakile,Clé,clé
Jiro,Lumière,lumière
Herinaratra,Électricité,électricité
Rano mangatsiaka,Eau froide,froide
Rano mafana,Eau chaude,chaude
Fandroana,Salle de bain,bain
Trano fidiovana,Toilettes,toilettes
Savony,Savon,savon
Lotion,Lotion,soin
Makarakara,Brosse à cheveux,brosse
Fitaovana,Outil,outil
Basivava,Masque,mask
Fiarovana,Protection,protection
Arety,Maladie,maladie
Tazomoka,Paludisme,paludisme
Kohaka,Toux,toux
Tazo,Fièvre,fièvre
Lohavery,Migraine,migraine
Tevy,Douleur abdominale,douleur
Fivalanana,Diarrhée,diarrhée
Rivotra,Rhume,rhume
Sery,Grippe,grippe
Boka,Lèpre,lèpre
Diabete,Diabète,diabète
Tosika,Hypertension,hypertension
Voan'aretina,Infection,infection
Fandidiana,Chirurgie,chirurgie
Fanafody,Médicament,médicament
Ravina simenitra,Remède naturel,remède
Dispensera,Dispensaire,dispensaire
Fonenana,Demeure,demeure
Trano ambany,Maison en terre,basse
Trano vato,Maison en pierre,pierre
Trano hazo,Maison en bois,bois
Trano biriky,Maison en brique,brique
Riakitra,Étagère,étagère
Kitapom-bola,Portefeuille,portefeuille
Kitapom-paositre,Sac postal,sac
Poch,Sac,sac
Valizy,Valise,valise
Fitoeram-pisakafoana,Salle à manger,salle
Lakozia,Cuisine,cuisine
Trano fisakafoana,Salle à manger,resto
Bara,Bar,bar
Garazy,Garage,garage
Kianja,Place publique,place
Tsangambato,Monument,monument
Farihy,Lac,lac
Renirano,Rivière,rivière
Ranomasina,Mer,mer
Nosy,Île,île
Vohitra,Hameau,hameau
Toby,Camp,camp
Seranam-piaramanidina,Aéroport,aéroport
Seran-tsambo,Port maritime,port
Fiaran-dalamby,Train,train
Lalamby,Rail,rail
Fijanonana,Arrêt,arrêt
Bus,Bus,bus
Taxi,Taxi,taxi
Bakery,Boulangerie,boulangerie
Fivarotana legioma,Marché aux légumes,marché
Fivarotana hena,Boucherie,boucherie
Fivarotana trondro,Poissonnerie,poissonnerie
Fivarotana mofo,Boulangerie,boulangerie
Fivarotana akanjo,Magasin de vêtements,vêtements
Fivarotana kiraro,Magasin de chaussures,chaussures
Fivarotana fanaka,Magasin de meubles,meubles
Fivarotana boky,Librairie,librairie
Fivarotana fitaovam-piasana,Magasin d'outils,outils
Fivarotana fiara,Concessionnaire auto,auto
Fivarotana bisikileta,Magasin de vélos,vélos
Fivarotana solosaina,Magasin informatique,informatique
Fivarotana finday,Téléphoner,téléphone
Fivarotana firavaka,Bijouterie,bijouterie
Fivarotana zava-manitra,Parfumerie,parfumerie
Androany,Aujourd'hui,aujourd'hui
Rahampitso,Demain,demain
Omaly,Hier,hier
Avy rahampitso,À demain,à demain
Hatramin'ny rahampitso,Jusqu'à demain,jusqu'à
Andro maraina,Ce matin,matin
Androany tolakandro,Cet après-midi,après-midi
Hariva anio,Ce soir,soir
Amin'ny alina,Cette nuit,nuit
Herinandrona ity,Cette semaine,cette semaine
Taona ity,Cette année,cette année
Amin'ny fotoana rehetra,Tout le temps,toujours
Indraindray,Parfois,parfois
Matetika,Souvent,souvent
Tsy matetika,Rarement,rarement
Avy hatrany,Dès maintenant,dès
Raha vao,Juste après,dès que
Farafahakeliny,Au moins,au moins
Farafaharatsiny,Au pire,au pire
Enin'ny alina,À six heures du soir,heure
Dimy maraina,À cinq heures du matin,heure
Mitataovovonana,Midi,midi
Mamakivaky,Minuit,minuit
Sasa-mody,Aller-retour,retour
Mandeha an-tongotra,Aller à pied,pied
Mandeha bisikileta,Aller à vélo,vélo
Mandeha fiara,Aller en voiture,voiture
Mandeha fiaramanidina,Aller en avion,avion
Mandeha sambo,Aller en bateau,bateau
Mandeha lalamby,Aller en train,train
Mijanona,S'arrêter,arrêt
Mihodina,Tourner,tourner
Mahatratra,Atteindre,atteindre
Manatona,S'approcher,approche
Miala,S'éloigner,éloigne
Mandalo,Passer,passer
Manara-maso,Suivre,suivre
Mitady,Chercher,chercher
Mahita,Trouver,trouver
Very,Perdre,perdre
Mamonjy,Aider,aider
Miantso,Appeler,appeler
Mamaly,Répondre,répondre
Manontany,Demander,demander
Mamerina,Répéter,répéter
Manazava,Expliquer,expliquer
Manome,Donner,donner
Mandray,Recevoir,recevoir
Manofa,Louer,louer
Manofa trano,Louer une maison,louer
Mividy trano,Acheter une maison,acheter
Mivarotra trano,Vendre une maison,vendre
Manambady,Se marier,marier
Misara-panambady,Divorcer,divorcer
Manana,Avoir,avoir
Tsy manana,Ne pas avoir,manquer
Mila,Avoir besoin,besoin
Mankafy,Apprécier,apprécier
Miantsoantso,Crier,crier
Mibitsibitsika,Chuchoter,chuchoter
Mihomehy,Rire,rire
Mitomany,Pleurer,pleurer
Mitebiteby,S'inquiéter,inquiet
Matahotra,Avoir peur,peur
Taitra,Surpris,surpris
Menatra,Avoir honte,honte
Faly,Content,content
Ketrina,Triste,triste
Tezitra,Fâché,fâché
Tosika mitady,Stressé,stressé
Resy lahatra,Convaincu,convaincu
Misalasala,Hésiter,hésiter
Vonona ny hanao,Prêt à faire,prêt
Manandrana,Essayer,essayer
Mahavita,Réussir,réussir
Manao fahadisoana,Faire une erreur,erreur
Miala tsiny,S'excuser,s'excuser
Manaiky,Accepter,accepter
Mandà,Refuser,refuser
Mifidy,Choisir,choisir
Manapa-kevitra,Décider,décider
Manomana,Préparer,préparer
Manamboatra,Réparer,réparer
Manadio,Nettoyer,nettoyer
Manasa,Laver,laver
Mandro,Prendre un bain,bain
Manasa tanana,Laver les mains,mains
Mandraho-damba,Laver le linge,linge
Mandraho-jiro,Éteindre la lumière,éteindre
Mamelona jiro,Allumer la lumière,allumer
Manokatra,Ouvrir,ouvrir
Manidy,Fermer,fermer
Mamaky varavarana,Ouvrir la porte,porte
Manidy varavarana,Fermer la porte,porte
Mipetraka ao,S'installer dedans,installer
Miala avy,Partir,partir
Manasa vilia,Laver la vaisselle,vaisselle
Mandrosoa,Entrer,entrer
Mandrosoa hisakafo,Venez manger,invitation
Misotro rano,Boire de l'eau,boire
Mihinana vary,Manger du riz,manger
Mihinana sakafo maraina,Prendre petit-déjeuner,déjeuner
Mihinana sakafo antoandro,Déjeuner,déjeuner
Mihinana sakafo hariva,Dîner,dîner
Mamono olona,Tuer quelqu'un,tuer
Mamono biby,Tuer un animal,tuer
Manimba,Détruire,détruire
Manorina,Construire,construire
Mandevina,Enterrer,enterrer
Mandoro,Brûler,brûler
Manapaka,Couper,couper
Manety,Couper les cheveux,couper
Miasa any am-pivarotana,Travailler en boutique,boutique
Miasa any an-trano,Travailler à la maison,maison
Miasa any an-tsaha,Travailler aux champs,champ
Miasa any amin'ny orinasa,Travailler en entreprise,entreprise
Mianatra any an-tsekoly,Étudier à l'école,école
Mianatra malagasy,Apprendre le malgache,apprendre
Mianatra teny frantsay,Apprendre le français,français
Mianatra teny anglisy,Apprendre l'anglais,anglais
Mampianatra malagasy,Enseigner le malgache,enseigner
Mamaky boky,Lire un livre,lire
Manoratra taratasy,Écrire une lettre,lettre
Manoratra mailaka,Écrire un mail,mail
Mampiasa solosaina,Utiliser un ordinateur,utiliser
Mampiasa finday,Utiliser un téléphone,téléphone
Mampiasa aterineto,Utiliser internet,internet
Maka sary,Prendre une photo,photo
Manao horonantsary,Faire une vidéo,video
Mandefa hafatra,Envoyer un message,message
Mahazo hafatra,Recevoir un message,message
Miandry hafatra,Attendre un message,attendre
Miandry fiara,Attendre le bus,attente
Miandry olona,Attendre quelqu'un,attente
Miandry ny fitsarana,Attendre le jugement,jugement
Mankany am-piasana,Aller au travail,travail
Mankany an-tsekoly,Aller à l'école,école
Mankany an-tsena,Aller au marché,marché
Mankany amin'ny dokotera,Aller chez le médecin,médecin
Mankany amin'ny namana,Aller chez un ami,ami
Mankany amin'ny fianakaviana,Aller chez la famille,famille
Mankany andafy,Aller à l'étranger,étranger
Mody,Retourner à la maison,retour
Mody an-trano,Rentrer à la maison,rentrer
Mody any ambanivolo,Retourner au village,village
Manasa namana,Inviter des amis,inviter
Manasa fianakaviana,Inviter la famille,inviter
Manasa vahiny,Inviter des invités,invité
Mamantatra,Rendre visite,visite
Mankalaza fety,Célébrer une fête,fête
Mankalaza noel,Célébrer Noël,Noël
Mankalaza paka,Célébrer Pâques,Pâques
Mankalaza tsingerintaona,Célébrer anniversaire,anniversaire
Mametraka baolina,Mettre un ballon,ballon
Milalao baolina kitra,Jouer au football,football
Milalao basket,Jouer au basket,basket
Milalao tenisy,Jouer au tennis,tennis
Milalao loka,Jouer aux échecs,échecs
Mandeha mihazakazaka,Aller courir,courir
Mandeha milomano,Aller nager,nager
Mandeha mitaingina soavaly,Aller à cheval,cheval
Mandeha mitaingina bisikileta,Aller à vélo,vélo
Manjono,Pêcher,pêcher
Mihaza,Chasser,chasser
Manamboatra sambo,Construire un bateau,bateau
Manamboatra trano,Construire une maison,construction
Manamboatra lalana,Construire une route,route
Mampiasa vola,Utiliser l'argent,dépenser
Mitahiry vola,Épargner l'argent,épargner
Mahazo vola,Gagner de l'argent,gagner
Mampiasa vola be,Dépenser beaucoup,dépense
Mividy fiara,Acheter une voiture,voiture
Mividy tany,Acheter une terre,terre
Mivarotra tany,Vendre une terre,terre
Mampiasa karatra,Utiliser une carte,carte
Mampiasa cheque,Utiliser un chèque,chèque
Mampiasa vola madinika,Utiliser la monnaie,monnaie
Manakalo,Échanger,échanger
Mifampiraharaha,Négocier,négocier
Manao sonia,Signer,signer
Manamarina,Vérifier,vérifier
Manisa,Compter,compter
Manao kajy,Calculer,calculer
Manambara,Annoncer,annoncer
Mametra-panontaniana,Poser une question,question
Manome valiny,Donner une réponse,réponse
Mamaly antso,Répondre au téléphone,répondre
Manakatra,Ouvrir,ouvrir
Manidy,Fermer,fermer
Manamboatra olana,Résoudre un problème,résoudre
Miatrika olana,Affronter un problème,affronter
Misoroka olana,Éviter un problème,éviter
Mandeha any am-pitsarana,Aller au tribunal,tribunal
Manatrika fitsarana,Assister au procès,procès
Manambara didim-pitsarana,Annoncer le jugement,jugement
Manambara lalàna,Annoncer la loi,loi
Manatanteraka lalàna,Appliquer la loi,appliquer
Mandika lalàna,Enfreindre la loi,enfreindre
Mitsara,Juger,juger
Miangavy,Prier,prier
Midera,Louer,chanter
Manao batisa,Baptiser,baptiser
Manatanteraka fampakaram-bady,Célébrer un mariage,mariage
Manome tsodrano,Bénir,bénir
Manintona,Fasciner,fasciner
Mamitaka,Tromper,tromper
Manao ody,Faire un sort,sort
Minosy,Devenir sorcier,sorcier
Mampiasa fanafody nentim-paharazana,Utiliser remède traditionnel,tradition
Manasitrana remby,Soigner un blessé,soigner
Manasitrana marary,Soigner un malade,soigner
Manome torohevitra,Donner un conseil,conseil
Mangataka torohevitra,Demander conseil,conseil
Mandray fanapahan-kevitra,Prendre une décision,décision
Manova hevitra,Changer d'avis,avis
Manohana,Soutenir,soutenir
Manohitra,S'opposer,s'opposer
Miady hevitra,Débattre,débattre
Mifanaraka,Être d'accord,accord
Tsy mifanaraka,Ne pas être d'accord,désaccord
Mifankahita,Se rencontrer,rencontre
Mifankatia,S'aimer mutuellement,s'aimer
Mifandona,Se heurter,heurter
Mifampiresaka,Converser,converser
Mifampilalao,Jouer ensemble,jouer
Mifampianatra,Apprendre ensemble,apprendre
Mifampiasa,Travailler ensemble,travailler
Mifampizara,Partager ensemble,partager
Mifampitohy,Être lié,lié
Mifandray,Être en contact,contact
Mifamaly,Répondre mutuellement,réponse
Mifanoratra,Correspondre par écrit,correspondre
Mifandona amina olona,Se disputer,dispute
Miala tsiny amina olona,S'excuser,excuse
Manao fihavanana,Faire la paix,paix
Mampilamina,Réconcilier,réconcilier
Mahafantatra,Savoir,savoir
Manontany tena,Se demander,douter
Mamerina indray,Répéter encore,recommencer
Manodina,Moudre,moudre
Manisy tombo-kase,Cacheter,cacheter
Manatsohy,Aiguiser,aiguiser
Manidina,Voler,voler
Mitsambikina,Sauter,sauter
Mibisioka,Siffler,siffler
Mikohaka,Tousser,tousser
Mitsentsitra,Aspirer,aspirer
Manisy ratsy,Nuire,nuire
Manisy tsara,Faire du bien,bien
Manambara mialoha,Prédire,prédire
Manonofy,Rêver,rêver
Mampiasa hery,Utiliser la force,forcer
Miaro,Défendre,défendre
Manafika,Attaquer,attaquer
Mamonjy voina,Sauver,sauver
Manafaka,Libérer,libérer
Mampifaly,Réjouir,réjouir
Mampalahelo,Attrister,attrister
Mampitony,Calmer,calmer
Mampatahotra,Efrayer,effrayer
Mampihomehy,Faire rire,rire
Mampitomany,Faire pleurer,pleurer
Mampangetaheta,Désaltérer,désaltérer
Mampanono,Nourrir,nourrir
Mampianatra,Instruire,instruire
Mampihavana,Rapprocher,rapprocher
Mampisaraka,Séparer,séparer
Mampiray,Unir,unir
Mampiorina,Fixer,fixer
Mampihetsika,Bouger,bouger
Mampiato,Arrêter,arrêter
Mampandeha,Faire fonctionner,lancer
Mamono,Éteindre ou tuer,éteindre
Mamelona,Vivifier,vivifier
Manimba ny rivotra,Polluer,polluer
Manadio ny tany,Dépolluer,dépolluer
Mamafa,Essuyer,essuyer
Manondraka,Arroser,arroser
Mamafy,Semer,semer
Mijinja,Récolter,récolter
Manodina ny tany,Labourer,labourer
Mamboly,Planter,planter
Manongotra,Déterrer,déterrer
Manapaka hazo,Couper du bois,couper
Manamboatra fefy,Construire une clôture,clôture
Manamboatra lakana,Construire une pirogue,pirogue
Manamboatra harona,Tisser un panier,panier
Manamboatra lahy,Tisser une natte,natte
Manamboatra savony,Faire du savon,savon
